emp_no,title,dept_no,first_name,last_name,birth_date,from_date,to_date
62384,Senior Staff,d008,Akeel,Litzler,1965-01-02,1999-10-23,2001-12-21
63294,Senior Engineer,d004,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01
63419,Senior Engineer,d004,Hiroyasu,Seuren,1965-01-14,1989-03-05,9999-01-01
63441,Staff,d003,Hinrich,Scallan,1965-01-15,1999-04-04,9999-01-01
63444,Senior Staff,d002,Padma,Peres,1965-01-19,1985-02-20,1994-12-22
63566,Senior Staff,d007,Heekeun,Slaats,1965-01-31,1999-01-12,9999-01-01
63631,Senior Engineer,d004,Falguni,Cherinka,1965-01-22,1986-09-08,1987-10-15
63706,Engineer,d005,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01
64023,Senior Engineer,d005,Laurentiu,Benzmuller,1965-01-11,1999-11-08,9999-01-01
64209,Senior Staff,d009,Golgen,Schoegge,1965-01-24,1988-02-26,9999-01-01
64431,Technique Leader,d004,Faiza,Zongker,1965-01-25,1995-12-10,2001-12-03
64487,Engineer,d006,Tsutomu,Rebaine,1965-01-27,1986-09-17,9999-01-01
64532,Engineer,d004,Atilio,Segond,1965-01-23,1990-11-29,9999-01-01
64632,Senior Staff,d007,Zsolt,Brender,1965-01-07,1996-02-21,9999-01-01
64790,Senior Engineer,d005,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01
64828,Staff,d007,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01
64984,Senior Engineer,d006,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01
65013,Senior Engineer,d005,Chandrasekaran,Peral,1965-01-03,1985-02-28,2001-12-14
65171,Technique Leader,d004,Jeane,Tasistro,1965-01-25,1994-07-06,9999-01-01
65539,Senior Engineer,d005,Aksel,Picaronny,1965-01-23,1991-01-27,9999-01-01
65883,Senior Staff,d007,Patricia,Pepe,1965-01-07,1991-04-19,9999-01-01
65998,Senior Staff,d007,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01
66382,Engineer,d004,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01
66530,Staff,d008,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01
66643,Engineer,d004,Jianhao,Tomescu,1965-01-18,1996-08-26,9999-01-01
66702,Engineer,d005,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01
66757,Staff,d001,Yonghong,Baig,1965-01-16,1999-04-10,9999-01-01
66807,Senior Engineer,d005,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01
67320,Senior Staff,d001,Sadok,Lorys,1965-01-18,1987-05-10,9999-01-01
67548,Staff,d003,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01
67934,Senior Engineer,d004,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01
68022,Staff,d009,Kristinn,Pearson,1965-01-12,1995-05-07,1999-06-26
68168,Senior Staff,d009,Marl,Thiria,1965-01-14,1987-03-18,1996-12-31
68263,Staff,d007,Fumiko,Bodoff,1965-01-16,1991-12-19,1993-07-11
68416,Senior Engineer,d004,Munenori,Debuse,1965-01-27,1990-11-08,9999-01-01
68608,Senior Engineer,d004,Yucai,Seghrouchni,1965-01-26,1989-06-09,9999-01-01
68633,Senior Engineer,d004,Chinhyun,Rassart,1965-01-28,1993-07-29,9999-01-01
68648,Technique Leader,d005,Jaques,DiGiano,1965-01-25,1992-04-01,9999-01-01
69052,Senior Staff,d007,Shietung,Shrader,1965-01-26,1995-08-05,9999-01-01
69219,Senior Staff,d001,Shuky,Redmiles,1965-01-09,1994-11-19,9999-01-01
69867,Staff,d007,Miyeon,Rothe,1965-01-22,1991-04-09,9999-01-01
69878,Engineer,d005,Chinya,Cooke,1965-01-24,1997-01-29,9999-01-01
69936,Assistant Engineer,d004,Lalit,Unni,1965-01-23,1999-01-31,9999-01-01
70469,Staff,d001,Tru,Miyakawa,1965-01-12,1990-09-03,9999-01-01
70780,Assistant Engineer,d005,Behnaam,Angelov,1965-01-27,1995-01-29,1999-07-20
70990,Senior Engineer,d004,Arumugam,Nitta,1965-01-22,1990-03-23,9999-01-01
71066,Staff,d007,Domenick,Basart,1965-01-27,1996-01-05,9999-01-01
71141,Staff,d003,Sajjad,Vitiello,1965-01-02,1992-02-17,9999-01-01
71188,Staff,d007,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01
71243,Senior Engineer,d004,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01
71334,Senior Engineer,d005,Cathie,Peck,1965-01-15,1993-04-12,2001-03-04
71685,Senior Engineer,d004,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01
71710,Assistant Engineer,d005,Hitomi,Takanami,1965-01-31,1997-12-15,9999-01-01
71745,Assistant Engineer,d005,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01
72190,Engineer,d005,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01
72194,Senior Engineer,d004,Feiyu,Siepmann,1965-01-26,1998-10-01,9999-01-01
72232,Engineer,d006,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01
72640,Senior Engineer,d006,Honglan,Hutton,1965-01-24,1993-10-04,9999-01-01
72918,Senior Staff,d007,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01
73076,Senior Engineer,d005,Froduald,Feldhoffer,1965-01-22,1993-03-16,9999-01-01
73233,Senior Engineer,d004,Shigeo,Merey,1965-01-15,1985-07-30,9999-01-01
73516,Engineer,d004,Qingxiang,Badache,1965-01-14,1989-06-25,9999-01-01
73743,Engineer,d004,Anneke,Bernardeschi,1965-01-15,1999-11-01,2000-10-15
73794,Engineer,d005,Aiichiro,Castellani,1965-01-26,1985-08-26,1987-08-19
73903,Engineer,d005,Bartek,Cappello,1965-01-29,1988-07-28,1993-01-02
74200,Senior Engineer,d004,Holgard,Weiland,1965-01-16,1991-09-24,9999-01-01
74237,Engineer,d006,Jaihie,Vilarrasa,1965-01-29,1992-03-03,2001-06-20
74344,Engineer,d005,Hiroyasu,Provine,1965-02-01,1994-11-25,9999-01-01
74598,Senior Staff,d001,Kolar,Garigliano,1965-01-07,1992-05-10,1999-03-07
74668,Senior Staff,d007,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01
74800,Engineer,d004,Yuuichi,Conde,1965-01-25,1989-03-08,9999-01-01
75113,Engineer,d005,Zissis,Birch,1965-01-22,1994-08-19,2000-07-15
75354,Senior Engineer,d005,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01
75420,Engineer,d006,Clyde,Vrecion,1965-01-09,1997-07-03,2000-09-14
75703,Senior Engineer,d005,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01
75760,Technique Leader,d005,Jahangir,Radhakrishnan,1965-01-21,1991-04-19,1993-12-29
75888,Staff,d008,Marsal,Otillio,1965-01-31,1994-01-23,1999-09-16
76178,Senior Engineer,d004,Chiradeep,Meriste,1965-01-19,1988-05-23,1997-06-25
76189,Senior Engineer,d004,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01
76201,Senior Engineer,d005,Arif,Preusig,1965-01-10,1992-04-02,9999-01-01
76417,Senior Engineer,d005,Parviz,Duclos,1965-01-31,1989-12-27,1993-12-31
76598,Engineer,d004,Keung,Ferriere,1965-01-24,1991-05-13,1995-10-08
76640,Senior Engineer,d006,Tristan,Mitsuhashi,1965-01-02,1994-07-13,9999-01-01
76847,Senior Engineer,d005,Mariusz,Weiland,1965-01-20,1989-08-16,1994-11-09
77030,Technique Leader,d005,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01
77157,Staff,d009,Tesuro,Nicolson,1965-01-14,1996-06-01,1999-10-20
77303,Senior Staff,d009,Xinglin,Birge,1965-01-18,1992-03-05,9999-01-01
77647,Technique Leader,d004,Niranjan,Schaaf,1965-01-07,1989-11-05,9999-01-01
77815,Engineer,d005,Ronghao,Picaronny,1965-01-21,1993-06-09,9999-01-01
78086,Staff,d008,Fabrizio,Anick,1965-01-20,1997-12-16,1998-05-02
78106,Senior Staff,d007,Ashish,Ratnaker,1965-01-09,1986-11-10,2000-01-17
78171,Senior Staff,d009,Teiji,Hinsberger,1965-01-12,1997-01-25,2002-05-18
78363,Engineer,d006,Susumu,Fritzsche,1965-01-03,1998-06-23,9999-01-01
78469,Staff,d003,Leucio,Cappelli,1965-01-28,1997-08-22,9999-01-01
78871,Senior Engineer,d005,Conor,Ghandeharizadeh,1965-01-15,1985-05-25,9999-01-01
79043,Technique Leader,d004,Katsuo,Hockney,1965-01-24,1999-11-07,9999-01-01
79171,Senior Engineer,d004,Guiseppe,Ellozy,1965-01-19,1991-01-12,9999-01-01
79190,Staff,d007,Tsuneo,Servi,1965-01-18,1999-06-30,2001-06-02
79239,Senior Engineer,d006,Denny,Griswold,1965-01-07,1989-05-18,2001-11-19
79310,Senior Staff,d001,Jeong,Cunliffe,1965-01-24,1996-10-27,9999-01-01
79606,Senior Engineer,d005,Arnd,Peir,1965-01-03,1986-12-11,9999-01-01
79640,Staff,d008,Marl,Litzkow,1965-01-26,1991-10-12,1993-10-22
79722,Staff,d007,Make,Remmers,1965-01-17,1997-08-07,1998-08-08
79763,Staff,d001,Sanjoy,Barreiro,1965-01-20,1988-04-09,9999-01-01
79895,Senior Staff,d007,Fei,Murtagh,1965-01-30,1986-01-19,9999-01-01
80067,Senior Staff,d009,Kazuhisa,Weiland,1965-01-19,1985-11-09,9999-01-01
80203,Staff,d007,Shakhar,Baik,1965-01-22,1993-12-01,9999-01-01
80432,Staff,d008,Stella,Figueira,1965-01-17,1990-03-14,9999-01-01
80656,Engineer,d005,Kwan,Gide,1965-01-09,1998-06-24,2001-07-01
80731,Senior Staff,d007,Shaowen,Eldridge,1965-01-25,1987-12-05,9999-01-01
80745,Staff,d007,Rimli,Huttel,1965-01-09,1989-12-14,1996-11-29
80850,Senior Engineer,d004,Koldo,Luit,1965-02-01,1995-04-16,9999-01-01
80889,Senior Engineer,d005,Shigeo,Linnainmaa,1965-01-07,1985-07-30,9999-01-01
80948,Engineer,d005,Harjit,Bardell,1965-01-27,1991-05-24,9999-01-01
81105,Engineer,d005,Jaewon,Boissier,1965-01-14,1992-05-24,9999-01-01
81162,Engineer,d005,Marco,Klerer,1965-01-28,1993-11-01,1995-02-28
81545,Technique Leader,d005,Larisa,Kornyak,1965-01-13,2000-02-07,9999-01-01
81619,Senior Engineer,d005,Gen,Aloisi,1965-01-12,1985-03-12,2002-07-25
81644,Staff,d007,Divine,Ghandeharizadeh,1965-01-05,1997-11-28,9999-01-01
81995,Engineer,d005,Sreekrishna,Brender,1965-01-10,1990-03-22,9999-01-01
82069,Senior Engineer,d004,Yechezkel,Perfilyeva,1965-01-20,1994-11-03,9999-01-01
82098,Engineer,d004,Poornachandra,Wilharm,1965-01-25,1991-04-20,9999-01-01
82351,Senior Staff,d003,Stevo,Thambidurai,1965-01-26,1989-10-27,9999-01-01
82511,Engineer,d005,Uwe,Koblick,1965-01-27,1998-04-04,9999-01-01
82919,Engineer,d005,Shigeu,Claffy,1965-01-05,1998-12-19,9999-01-01
82928,Engineer,d005,Alselm,Rikino,1965-01-27,1990-11-16,9999-01-01
83280,Senior Engineer,d004,Francesca,Ellozy,1965-01-07,1999-08-08,9999-01-01
83289,Senior Engineer,d005,Shigeichiro,Engelmann,1965-01-09,1994-01-09,9999-01-01
83509,Senior Engineer,d005,Breannda,Collavizza,1965-01-04,1989-10-12,9999-01-01
83544,Senior Staff,d007,Leaf,Baak,1965-01-18,1994-09-05,9999-01-01
83714,Senior Engineer,d009,Ohad,Kilgore,1965-01-27,2000-10-10,9999-01-01
83805,Senior Engineer,d005,Manohar,Harllee,1965-01-23,1987-03-11,9999-01-01
83922,Senior Engineer,d004,Shunichi,Solovay,1965-01-10,1986-06-07,1998-11-18
83941,Staff,d008,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01
84029,Staff,d009,Babette,Eugenio,1965-01-27,1997-09-21,9999-01-01
84163,Senior Staff,d002,Zejun,Roisin,1965-01-11,1997-05-26,2002-01-16
84179,Senior Engineer,d004,Shuichi,Nanard,1965-01-25,1989-03-14,9999-01-01
84236,Staff,d007,Eberhardt,Barriga,1965-01-18,1987-06-04,9999-01-01
84256,Staff,d007,Denny,Cheshire,1965-01-25,1989-11-23,1992-08-08
84315,Assistant Engineer,d005,Kristina,Baumann,1965-01-23,1996-09-26,9999-01-01
84451,Senior Engineer,d005,Shiv,Aumann,1965-01-20,1998-06-14,9999-01-01
84494,Staff,d002,Janalee,Loncour,1965-01-02,1986-04-12,1987-09-04
84508,Engineer,d005,Tommaso,Vidya,1965-01-17,1998-05-02,9999-01-01
84840,Staff,d008,Sverrir,Neimat,1965-01-14,1996-11-03,9999-01-01
84922,Engineer,d005,Parke,Unno,1965-01-22,1996-07-01,9999-01-01
84942,Technique Leader,d006,Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01
85216,Senior Staff,d002,Ferdinand,Rosiles,1965-01-18,1997-07-08,9999-01-01
85288,Engineer,d004,Younwoo,Luders,1965-01-06,1995-03-31,1998-12-08
85414,Staff,d002,Chiradeep,Callaway,1965-01-14,1999-07-30,9999-01-01
85445,Staff,d007,Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01
85702,Engineer,d006,Udi,Merks,1965-01-04,1997-08-15,9999-01-01
85874,Senior Staff,d009,Pasqua,Taubman,1965-01-30,1986-06-23,9999-01-01
86213,Staff,d007,Kristine,Clemencon,1965-01-28,1990-04-22,1993-06-01
86324,Senior Engineer,d004,Maia,Berstel,1965-01-14,1988-07-17,1997-09-29
86354,Senior Engineer,d005,Ronghao,Segond,1965-01-27,1993-09-13,9999-01-01
86422,Staff,d001,Jaewon,Thummel,1965-02-01,1985-09-14,9999-01-01
86546,Senior Engineer,d004,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01
86655,Engineer,d004,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01
86672,Staff,d008,JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01
87129,Staff,d007,Keung,Neiman,1965-01-16,1997-04-13,9999-01-01
87353,Senior Engineer,d005,Quingbo,Coombs,1965-01-07,1999-01-17,9999-01-01
87458,Senior Staff,d007,Mikhail,Gimbel,1965-01-26,1993-12-22,1999-04-29
87714,Engineer,d004,Khun,Janetzko,1965-01-16,1989-09-13,9999-01-01
87729,Staff,d008,Yongmin,Roccetti,1965-01-24,1986-12-10,9999-01-01
87783,Senior Engineer,d005,Conor,Thorensen,1965-01-26,1988-02-24,9999-01-01
88103,Senior Staff,d007,Goo,Bresenham,1965-01-09,1999-01-31,9999-01-01
88357,Staff,d008,Manohar,Karcich,1965-01-05,1998-08-07,2000-08-22
88411,Engineer,d005,Lena,Cannane,1965-01-31,2000-01-28,9999-01-01
88422,Technique Leader,d004,Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01
88647,Engineer,d005,Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01
88958,Staff,d002,Vojin,Coombs,1965-01-22,1995-07-23,9999-01-01
88965,Engineer,d005,Mang,Hedayat,1965-01-20,1995-05-22,9999-01-01
89048,Engineer,d005,Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01
89090,Senior Staff,d003,Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,9999-01-01
89161,Senior Staff,d002,Conal,Yetto,1965-01-07,1991-01-12,9999-01-01
89207,Staff,d003,Along,Erol,1965-01-15,1992-10-16,9999-01-01
89346,Engineer,d005,Mansur,Comyn,1965-01-13,1999-08-31,9999-01-01
89487,Engineer,d005,Kazuhira,Seiwald,1965-01-29,1995-03-25,1999-03-24
89590,Staff,d008,Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01
89664,Staff,d001,Pranjal,Rossi,1965-01-20,1998-07-07,9999-01-01
89680,Senior Engineer,d004,Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01
89806,Senior Engineer,d004,Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01
89922,Engineer,d004,Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01
89941,Senior Staff,d001,Arnould,Weedman,1965-01-23,1989-07-28,9999-01-01
90077,Engineer,d005,Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01
90084,Engineer,d004,Renny,Bale,1965-01-01,1989-11-22,9999-01-01
90116,Assistant Engineer,d005,Brigham,Luiz,1965-01-11,1990-04-10,1995-06-10
90211,Engineer,d004,Bader,Denis,1965-01-15,1997-10-06,9999-01-01
90292,Senior Engineer,d004,Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01
90366,Senior Staff,d009,Magy,Eiron,1965-01-26,1998-08-03,2002-03-03
90518,Staff,d009,Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01
90614,Assistant Engineer,d004,Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01
90692,Staff,d001,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01
91172,Staff,d009,Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01
91182,Senior Engineer,d005,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01
91229,Engineer,d004,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01
91256,Staff,d001,Gunilla,Milicic,1965-01-13,1998-01-09,9999-01-01
91308,Engineer,d005,Remmert,Plumb,1965-01-23,1986-06-14,1995-12-08
91333,Staff,d007,Lobel,Stafford,1965-01-27,1998-11-29,9999-01-01
91415,Staff,d007,Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01
91462,Engineer,d005,Siamak,Janocha,1965-01-11,1997-08-26,1998-03-21
91648,Staff,d001,Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01
91934,Engineer,d004,Nikolaus,Swen,1965-01-03,2000-01-28,2002-07-03
91973,Senior Engineer,d005,Jianwen,Jakobus,1965-01-25,1998-08-24,2001-02-12
92438,Senior Engineer,d004,Aria,Kilgore,1965-01-04,1989-02-27,1992-04-11
92443,Senior Staff,d009,Girolamo,Bellmore,1965-01-01,1996-12-04,2000-04-27
92454,Engineer,d006,Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01
92577,Assistant Engineer,d004,Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01
92598,Assistant Engineer,d004,Ranga,Merro,1965-01-18,1996-05-11,9999-01-01
92685,Senior Staff,d007,Mang,Atchley,1965-01-26,1995-06-07,9999-01-01
92841,Senior Staff,d007,Claude,Candan,1965-01-22,1993-08-04,9999-01-01
92846,Staff,d001,Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01
92920,Senior Engineer,d005,Huei,Hutter,1965-01-20,1993-01-28,9999-01-01
93040,Senior Engineer,d005,Jaques,Kabayashi,1965-01-19,1992-03-13,9999-01-01
93220,Senior Engineer,d006,Richara,Walston,1965-01-11,1996-08-27,9999-01-01
93278,Engineer,d004,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01
93549,Senior Staff,d007,Arie,Coullard,1965-02-01,2000-03-28,9999-01-01
93600,Technique Leader,d004,Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01
93794,Senior Engineer,d004,Rimli,Werthner,1965-01-23,1994-05-27,2000-12-30
94045,Senior Engineer,d005,Gift,Brender,1965-01-19,1996-10-31,2000-01-02
94131,Staff,d002,Bernardo,Vasanthakumar,1965-01-29,1997-05-01,1997-07-20
94331,Technique Leader,d004,Ramzi,Cronau,1965-01-26,1999-09-03,9999-01-01
94416,Senior Staff,d002,Aran,Cesareni,1965-01-01,1990-02-10,2001-11-20
94442,Staff,d002,Bilhanan,Marrakchi,1965-01-28,1998-02-03,2000-10-12
94690,Staff,d002,Kazuyasu,Sridhar,1965-01-30,1999-12-22,2001-12-03
94761,Engineer,d005,Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01
94787,Staff,d009,Shigenori,Stanfel,1965-01-22,1993-04-25,1999-12-11
94944,Senior Engineer,d005,Heping,Matheson,1965-01-13,1988-06-24,9999-01-01
95181,Staff,d008,Yishai,Cappelli,1965-01-28,1997-01-30,9999-01-01
95286,Engineer,d005,Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01
95314,Staff,d007,Rasiah,Koblick,1965-01-22,1991-08-21,9999-01-01
95406,Engineer,d005,Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01
95416,Engineer,d005,Gianluca,Ramaiah,1965-01-13,1993-11-29,9999-01-01
95509,Engineer,d004,Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01
95692,Engineer,d006,Abdulah,Hofstetter,1965-01-20,2000-05-24,2000-07-24
95920,Staff,d002,Nobuyoshi,Hegner,1965-01-19,1994-09-07,9999-01-01
96100,Senior Engineer,d004,Pranay,Rebaine,1965-01-11,1998-02-01,2000-12-31
96571,Senior Engineer,d004,Kokou,Garrabrants,1965-01-13,1997-11-05,9999-01-01
96579,Engineer,d004,Mohan,Tasistro,1965-01-18,1996-02-10,9999-01-01
96767,Senior Engineer,d004,Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01
97018,Senior Engineer,d004,Jeanna,Chinen,1965-01-09,1989-01-01,9999-01-01
97092,Senior Engineer,d005,Anwar,Riexinger,1965-01-22,1991-12-31,2000-01-09
97623,Staff,d003,Haldon,Janetzko,1965-01-25,1990-09-11,9999-01-01
97661,Staff,d008,Avishai,Hegner,1965-01-31,1993-05-08,9999-01-01
97697,Senior Engineer,d005,Moie,Karunanithi,1965-01-10,1990-02-07,1994-11-02
98288,Staff,d008,Sumali,Huttel,1965-01-12,1989-09-12,9999-01-01
98306,Senior Engineer,d004,Ziya,Kadhim,1965-01-16,1999-06-24,9999-01-01
98514,Staff,d007,Giao,Junot,1965-01-08,1999-07-01,2002-02-25
98639,Staff,d008,Florina,Assaf,1965-01-29,1996-05-18,9999-01-01
99057,Staff,d009,Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01
99373,Senior Staff,d009,Xiaobin,Christianini,1965-01-13,1985-12-25,9999-01-01
99377,Senior Engineer,d005,Carrsten,Francisci,1965-01-18,1991-06-16,9999-01-01
99590,Staff,d007,Dhritiman,Anily,1965-01-24,1998-12-16,9999-01-01
99654,Senior Staff,d008,Mahendra,Motley,1965-01-30,1985-09-28,9999-01-01
100865,Engineer,d004,Hisao,Peral,1965-01-19,1990-10-03,9999-01-01
100877,Engineer,d004,Kazuhide,Harnett,1965-01-13,1995-02-02,1999-02-13
100916,Senior Engineer,d005,Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01
101063,Senior Engineer,d005,Nectarios,Munos,1965-01-08,1994-08-31,1995-08-14
101487,Senior Staff,d007,Abdelaziz,Sury,1965-01-14,1991-01-31,9999-01-01
101647,Senior Staff,d007,Mori,Homond,1965-01-22,1994-05-10,9999-01-01
101902,Staff,d007,Mantis,Millington,1965-01-14,1991-03-18,9999-01-01
102620,Engineer,d004,Adin,Templeman,1965-01-03,1997-12-10,1999-08-12
103166,Senior Engineer,d005,Waiman,Dalton,1965-01-09,1990-05-25,2002-02-09
103172,Engineer,d008,Doowon,Highland,1965-01-05,1989-12-28,1995-11-23
103196,Staff,d003,Djenana,Albarhamtoshy,1965-01-16,1988-07-16,9999-01-01
103310,Staff,d001,Visit,Swen,1965-01-07,1995-10-02,9999-01-01
103316,Senior Engineer,d005,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01
103342,Engineer,d006,Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01
103756,Engineer,d005,Heping,Halloran,1965-01-31,1992-04-08,9999-01-01
104133,Staff,d007,Pranjal,Zyda,1965-01-31,1991-07-03,9999-01-01
104845,Staff,d002,Werner,Lodder,1965-01-29,1992-06-17,9999-01-01
104962,Engineer,d004,Zongyan,Auyong,1965-01-04,1987-11-02,1991-12-22
104988,Senior Engineer,d005,Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01
105191,Engineer,d004,Jaber,Kleiser,1965-01-01,1986-12-13,1987-09-22
105342,Technique Leader,d006,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01
105356,Engineer,d005,Diederik,Matzov,1965-01-29,1988-05-12,1995-03-08
105432,Senior Engineer,d005,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01
105520,Senior Staff,d007,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01
105589,Engineer,d005,Yechiam,Egerstedt,1965-01-28,1995-12-31,1999-07-18
105731,Engineer,d005,Sachem,Cromarty,1965-01-15,1990-08-20,9999-01-01
105936,Staff,d007,Vidar,Thibadeau,1965-01-23,1995-03-02,1999-09-15
106096,Senior Engineer,d004,Naftali,Schurmann,1965-01-14,1992-12-02,9999-01-01
106242,Staff,d003,Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01
106514,Senior Engineer,d005,Otilia,Speek,1965-01-04,1988-07-30,1992-11-07
106695,Staff,d008,Lijie,Garrabrants,1965-01-31,1985-10-02,1988-10-26
106710,Staff,d001,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01
106958,Engineer,d004,Horward,Begiun,1965-01-24,1985-11-06,2002-05-22
107486,Senior Engineer,d005,Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01
107737,Senior Engineer,d005,Fabrizio,Chleq,1965-01-23,1999-07-31,9999-01-01
107792,Staff,d001,Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01
107828,Senior Staff,d007,Ramya,Walston,1965-01-26,1989-02-03,9999-01-01
108091,Staff,d009,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01
108198,Staff,d008,Randi,Samarati,1965-01-24,1992-10-20,9999-01-01
108316,Senior Engineer,d004,Shai,Stellhorn,1965-01-02,1992-05-21,9999-01-01
108988,Staff,d007,Oksana,Baek,1965-01-19,1989-07-20,9999-01-01
109062,Senior Engineer,d005,Jamaludin,Kandlur,1965-02-01,1992-06-19,9999-01-01
109211,Engineer,d005,Gor,Delgrande,1965-01-11,1995-11-07,2002-06-18
109252,Technique Leader,d004,Moty,Winter,1965-01-15,1991-04-28,9999-01-01
109278,Staff,d002,Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01
109547,Staff,d009,Chenye,Zizka,1965-01-04,1986-02-22,2002-04-21
109552,Assistant Engineer,d005,Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01
109553,Staff,d002,Xiaobin,DuBourdieux,1965-01-19,1985-09-16,1988-05-11
109598,Senior Staff,d002,Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01
109611,Staff,d007,Jamaludin,Lalonde,1965-01-08,1994-07-09,1998-08-24
109620,Staff,d007,Mani,Cannata,1965-01-02,1989-06-21,9999-01-01
109652,Staff,d003,Huan,Perko,1965-01-25,1988-07-31,1999-03-12
109703,Engineer,d004,Arco,Walston,1965-01-17,1999-08-16,9999-01-01
109741,Senior Engineer,d004,Hatem,Fadgyas,1965-01-11,1991-11-13,9999-01-01
109953,Staff,d007,Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01
200052,Senior Engineer,d005,Slavian,Cincotta,1965-01-27,1992-05-30,1997-07-07
200176,Staff,d007,Shahab,Luit,1965-01-31,1985-11-20,1997-02-05
200267,Staff,d009,Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01
200312,Senior Engineer,d004,Akemi,Fujisaki,1965-01-27,1998-06-25,2001-11-13
200363,Senior Engineer,d005,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01
200735,Staff,d001,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01
200789,Staff,d001,Susumu,Camurati,1965-01-14,1991-12-15,9999-01-01
201180,Assistant Engineer,d005,Odinaldo,Bridgland,1965-01-15,1989-06-09,1995-06-16
